statcan_product,FoodID
"Beef stewing cuts, per kilogram",6285
"Beef striploin cuts, per kilogram",6109
"Beef top sirloin cuts, per kilogram",6143
"Beef rib cuts, per kilogram",6068
"Ground beef, per kilogram",2786
"Pork loin cuts, per kilogram",1969
"Pork rib cuts, per kilogram",6161
"Pork shoulder cuts, per kilogram",1815
"Whole chicken, per kilogram",560
"Chicken breasts, per kilogram",841
"Chicken thigh, per kilogram",853
"Chicken drumsticks, per kilogram",847
"Bacon, 500 grams",1936
"Wieners, 400 grams",4644
"Salmon, per kilogram",3049
"Shrimp, 300 grams",3211
"Canned salmon, 213 grams",502278
"Canned tuna, 170 grams",3133
"Meatless burgers, 226 grams",5968
"Milk, 1 litre",61
"Milk, 2 litres",61
"Milk, 4 litres",61
"Soy milk, 1.89 litres",501950
"Nut milk, 1.89 litres",2643
"Cream, 1 litre",502153
"Butter, 454 grams",92
"Margarine, 907 grams",502758
"Block cheese, 500 grams",19
"Yogurt, 500 grams",502170
"Eggs, 1 dozen",125
"Apples, per kilogram",1696
"Oranges, per kilogram",1618
"Oranges, 1.36 kilograms",1618
"Bananas, per kilogram",1704
"Pears, per kilogram",1693
"Lemons, unit",1587
"Limes, unit",1593
"Grapes, per kilogram",1573
"Cantaloupe, unit",1721
"Strawberries, 454 grams",1749
"Avocado, unit",1511
"Potatoes, 4.54 kilograms",2505
"Potatoes, per kilogram",2505
"Sweet potatoes, per kilogram",2240
"Tomatoes, per kilogram",2460
"Cabbage, per kilogram",2361
"Carrots, 1.36 kilograms",2380
"Onions, per kilogram",2401
"Onions, 1.36 kilograms",2401
"Celery, unit",2386
"Cucumber, unit",2363
"Mushrooms, 227 grams",2399
"Iceberg lettuce, unit",2398
"Romaine lettuce, unit",2116
"Broccoli, unit",5410
"Peppers, per kilogram",2484
"Squash, per kilogram",2303
"Salad greens, 142 grams",2213
"Frozen french fried potatoes, 750 grams",2434
"Frozen green beans, 750 grams",6217
"Frozen broccoli, 500 grams",2376
"Frozen corn, 750 grams",2491
"Frozen mixed vegetables, 750 grams",501835
"Frozen peas, 750 grams",2151
"Frozen pizza, 390 grams",5860
"Frozen spinach, 300 grams",2216
"Frozen strawberries, 600 grams",1750
"White bread, 675 grams",4066
"Flatbread and pita, 500 grams",3708
"Crackers and crisp breads, 200 grams",502481
"Cookies and sweet biscuits, 300 grams",4010
"Dry or fresh pasta, 500 grams",4506
"Brown rice, 900 grams",4496
"White rice, 2 kilograms",4471
"Cereal, 400 grams",502127
"Wheat flour, 2.5 kilograms",4500
"White sugar, 2 kilograms",502040
"Apple juice, 2 litres",1495
"Orange juice, 2 litres",1619
"Roasted or ground coffee, 340 grams",2873
Tea (20 bags),2909
"Ketchup, 1 litre",2494
"Vegetable oil, 3 litres",423
"Canola oil, 3 litres",451
"Olive oil, 1 litre",422
"Baby food, 128 millilitres",502917
"Infant formula, 900 grams",5174
"Peanut butter, 1 kilogram",6289
"Mayonnaise, 890 millilitres",527
"Canned baked beans, 398 millilitres",5609
"Canned tomatoes, 796 millilitres",4736
"Canned soup, 284 millilitres",1121
"Canned beans and lentils, 540 millilitres",3392
"Canned corn, 341 millilitres",2389
"Canned peach, 398 millilitres",5397
"Canned pear, 398 millilitres",5398
"Dried lentils, 900 grams",3392
"Dry beans and legumes, 900 grams",3297
"Tofu, 350 grams",501799
"Hummus, 227 grams",4870
"Salsa, 418 millilitres",1025
"Pasta sauce, 650 millilitres",4735
"Salad dressing, 475 millilitres",532
"Almonds, 200 grams",2535
"Peanuts, 450 grams",3396
"Sunflower seeds, 400 grams",2526
